"source_dataset_id","player_id","club_id","original_player_name","original_team_name","player_age_years","market_value_mln","value_rank","plays_in_europe","matches_played","goals","assists","minutes_per_goal","minutes_played","instagram_followers_mln"
"1","865","32","Semih Kılıçsoy","Besiktas","18","12.0","3","0","1","0","0","0","68","1.1"
"1","852","35","Santiago Castro","Bolonia","19","12.0","3","1","72","10","3","268","2676","0.06"
"1","586","37","Luiz Henrique","Botafogo","23","12.0","3","0","32","6","4","352","2112","0.273"
"1","205","50","David Datro Fofana","Chelsea FC","21","12.0","3","1","103","31","12","179","5547","0.249"
"1","131","30","Bryan Zaragoza","Bayern Munich","22","12.0","3","1","113","19","3","289","5491","0.188"
"1","499","137","Jota Silva","Nottinham Forest","25","12.0","3","1","1","1","0","90","90","0.052"
"1","267","163","Eren Dinkci","SC Friburgo","22","12.0","3","1","117","45","22","150","6751","0.022"
"1","796","141","Ricardo Pepi","PSV ","21","12.0","3","1","1","0","0","0","1","0.107"
"1","570","191","Lorenzo Lucca","Udinese","23","12.0","3","1","164","55","16","179","9850","0.055"
"1","880","133","Sofiane Diop","Niza","24","12.0","3","1","183","24","15","446","10707","0.203"
"1","254","64","Emanuel Emegha","Estrasburgo","21","12.0","3","1","129","33","10","209","7522","0.017"
"1","11","28","Adam Hlozek","Bayer Leverkusen","22","12.0","3","1","223","62","47","232","14405","0.113"
"1","986","45","Zeki Amdouni","Burnley","23","12.0","3","1","232","78","11","183","14304","0.085"
"1","693","149","Morgan Whittaker","Plymouth Argyle","23","12.0","3","1","245","84","39","180","15079","0.03"
"1","548","125","Krépin Diatta","Monaco","25","12.0","3","1","219","36","27","386","13913","0.458"
"1","980","54","Yuri Alberto","Corinthians","23","12.0","3","0","37","17","3","160","2724","0.002"
"1","349","106","Gustav Isaksen","Lazio","23","12.0","3","1","212","57","33","220","12547","0.059"
"1","587","75","Luka Ivanusec","Feyenoord","25","12.0","3","1","1","0","0","0","13","0.087"
"1","679","45","Mike Trésor","Burnley","25","12.0","3","1","199","33","54","376","12396","0.028"
"1","36","1","Alexis Saelemaekers","AC Milan","25","12.0","3","1","242","16","28","901","14412","0.489"
"1","761","108","Patson Daka","Leicester City","25","12.0","3","1","250","98","47","139","13654","0.304"
"1","186","131","Cyril Ngonge","Napoli FC ","24","12.0","3","1","155","40","14","231","9240","0.11"
"1","9","89","Abel Ruiz","Girona FC","24","12.0","3","1","274","50","25","312","15620","0.109"
"1","991","24","Álex Berenguer","Athletic Club","29","12.0","3","1","350","43","44","468","20120","0.093"
"1","478","117","Jonathan Burkardt","Mainz","24","12.0","3","1","183","57","29","212","12101","0.0"
"1","251","115","Elijah Adebayo","Luton","26","12.0","3","1","282","80","26","248","19855","0.031"
"1","231","167","Dodi Lukébakio","Sevilla FC ","26","12.0","3","1","239","54","35","263","14205","0.091"
"1","530","167","Kelechi Iheanacho","Sevilla FC ","27","12.0","3","1","305","87","45","157","13665","0.835"
"1","524","154","Kasper Dolberg","RSC AnderLecht","26","12.0","3","1","2","0","0","0","165","0.377"
"1","694","73","Moses Simon","Fc Nantes","29","12.0","3","1","365","68","61","383","26023","0.298"
"1","939","153","Vedat Muriqi","RCD Mallorca","30","12.0","3","1","383","111","34","229","25376","0.374"
"1","121","126","Breel Embolo","Monaco FC","27","12.0","3","1","335","90","55","222","19992","0.443"
"1","307","90","Franck Honorat","Gladbach","27","12.0","3","1","291","41","56","479","19635","0.035"
"1","697","9","Moussa Dembélé","Al-Ettifaq","28","12.0","3","0","379","166","48","147","24408","0.334"
"1","715","67","Neal Maupay","Evertton","27","12.0","3","1","375","102","32","227","23116","0.133"
"1","167","5","Chuba Akpom","Ajax FC","28","12.0","3","1","2","0","0","0","154","0.461"
"1","803","6","Riyad Mahrez","Al-Ahli","33","12.0","3","0","520","149","118","244","36305","0.012"
"1","311","202","Fábio Silva","Wolverhampton Wanderers","22","11.0","3","1","184","38","18","252","9574","0.296"
"1","599","203","Maksim Glushenkov","Zenit","25","11.0","3","1","5","8","1","44","349","0.013"
"1","85","203","Artur","Zenit","26","11.0","3","1","5","0","3","0","182","4.9"
"1","632","203","Mateo Cassierra","Zenit","27","11.0","3","1","4","3","2","101","302","0.062"
"1","353","16","Habib Diallo","Al-Shabab","29","11.0","3","0","304","112","31","180","20134","0.167"
"1","885","108","Stephy Mavididi","Leicester City","26","11.0","3","1","306","79","19","245","19328","0.391"
"1","293","145","Fedor Chalov","Paok","26","11.0","3","1","2","0","0","0","90","0.109"
"1","962","84","Wilfried Zaha","Galatasaray","31","11.0","3","1","1","0","0","0","15","2.5"
"1","351","92","Gustavo Nunes","Gremio","18","10.0","2","0","42","8","6","332","2653","0.14"
"1","305","123","Francesco Camarda","Milan ","16","10.0","2","1","46","14","5","199","2783","0.421"
"1","957","54","Wesley","Corinthians","19","10.0","2","0","43","5","4","551","2756","1.2"
"1","328","126","George Ilenikhena","Monaco FC","17","10.0","2","1","84","33","1","106","3485","0.019"
"1","336","31","Gianluca Prestianni","Benfica","18","10.0","2","1","46","4","2","551","2202","0.133"
"1","816","162","Roger","SC Braga","18","10.0","2","1","2","1","1","150","150","0.021"
"1","388","108","Issahaku Fatawu","Leicester City","20","10.0","2","1","76","18","15","276","4965","0.183"
"1","579","19","Luciano Gondou","Argentinos Jrs","23","10.0","2","0","22","6","4","285","1709","0.043"
"1","968","45","Wilson Odobert","Burnley","19","10.0","2","1","95","27","9","221","5979","0.03"
"1","99","111","Ben Doak","Liverpool","18","10.0","2","1","41","11","8","224","2464","0.348"
